Event,Time,Event_Type,Event_ID,Source,Message
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\maszyny\\ubuntu\\vmware.log')"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\iso_i_tym_podobne\\kali\\kali-lin .. arevm\\kali-linux-2024.4-vmware-amd64-s008.vmdk')"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\maszyny\\ubuntu\\Ubuntu 64-bit-s005.vmdk')"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\iso_i_tym_podobne\\kali\\kali-lin .. arevm\\kali-linux-2024.4-vmware-amd64-s021.vmdk')"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\iso_i_tym_podobne\\kali\\kali-linux-2024.4-vmware-amd64.vmwarevm\\vmware.log')"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\maszyny\\ubuntu\\vmware.log')"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:58 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,140,Microsoft-Windows-Ntfs,"('2', 'D:', '23', '\\Device\\HarddiskVolume8', '0xc000000e', '{a9b1a85c-c040-3304-e9ce-a70e8a95ba88}', '8', 'ADATA   ', '16', 'SE800           ', '4', '0   ', '0', '', '7', '0', '')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
